time	V(vout)	V(n002)
1.027402485117674e-003	-3.723504e-002	1.713255e-002
1.037168110117673e-003	-5.071572e-002	2.319561e-002
1.046933735117673e-003	-6.388507e-002	2.911723e-002
1.056699360117673e-003	-7.674308e-002	3.489740e-002
1.066464985117673e-003	-8.928977e-002	4.053613e-002
1.076230610117673e-003	-1.015251e-001	4.603340e-002
1.085996235117672e-003	-1.134491e-001	5.138923e-002
1.095761860117672e-003	-1.250618e-001	5.660361e-002
1.111805386903386e-003	-1.432543e-001	6.476837e-002
1.127848913689100e-003	-1.596311e-001	7.211370e-002
1.143892440474814e-003	-1.741924e-001	7.863962e-002
1.159935967260528e-003	-1.869380e-001	8.434611e-002
1.175979494046242e-003	-1.978680e-001	8.923319e-002
1.192023020831956e-003	-2.069824e-001	9.330084e-002
1.208066547617670e-003	-2.142812e-001	9.654906e-002
1.230387976189098e-003	-2.201385e-001	9.913093e-002
1.252709404760526e-003	-2.218314e-001	9.984004e-002
1.275030833331954e-003	-2.193601e-001	9.867641e-002
1.297352261903382e-003	-2.127245e-001	9.564003e-002
1.319673690474810e-003	-2.019247e-001	9.073090e-002
1.341995119046239e-003	-1.869606e-001	8.394902e-002
1.364316547617667e-003	-1.678322e-001	7.529440e-002
1.376174806546238e-003	-1.563455e-001	7.010335e-002
1.388033065474809e-003	-1.441714e-001	6.460464e-002
1.399891324403380e-003	-1.313099e-001	5.879826e-002
1.411749583331951e-003	-1.177610e-001	5.268422e-002
1.423607842260522e-003	-1.035248e-001	4.626252e-002
1.435466101189094e-003	-8.860124e-002	3.953316e-002
1.447324360117665e-003	-7.299028e-002	3.249613e-002
1.454299806546236e-003	-6.368068e-002	2.830071e-002
1.461275252974807e-003	-5.429428e-002	2.407143e-002
1.468250699403379e-003	-4.483108e-002	1.980830e-002
1.475226145831950e-003	-3.529108e-002	1.551132e-002
1.482201592260521e-003	-2.567428e-002	1.118048e-002
1.489177038689093e-003	-1.598068e-002	6.815780e-003
1.496152485117664e-003	-6.210279e-003	2.417229e-003
1.500337752974806e-003	-3.586835e-004	-2.167531e-004
1.504523020831949e-003	5.483082e-003	-2.846050e-003
1.508708288689092e-003	1.131502e-002	-5.470661e-003
1.512893556546235e-003	1.713712e-002	-8.090586e-003
1.517078824403377e-003	2.294939e-002	-1.070583e-002
1.521264092260520e-003	2.875184e-002	-1.331638e-002
1.525449360117663e-003	3.454445e-002	-1.592225e-002
1.535214985117663e-003	4.805774e-002	-2.200027e-002
1.544980610117663e-003	6.126920e-002	-2.794112e-002
1.554746235117662e-003	7.417882e-002	-3.374479e-002
1.564511860117662e-003	8.678662e-002	-3.941128e-002
1.574277485117662e-003	9.909259e-002	-4.494060e-002
1.584043110117662e-003	1.110967e-001	-5.033274e-002
1.593808735117662e-003	1.227990e-001	-5.558771e-002
1.609154717260518e-003	1.403681e-001	-6.347339e-002
1.624500699403375e-003	1.563077e-001	-7.062357e-002
1.639846681546232e-003	1.706179e-001	-7.703823e-002
1.655192663689089e-003	1.832986e-001	-8.271738e-002
1.670538645831946e-003	1.943500e-001	-8.766101e-002
1.685884627974803e-003	2.037719e-001	-9.186913e-002
1.701230610117659e-003	2.115644e-001	-9.534174e-002
1.724249583331945e-003	2.189149e-001	-9.859435e-002
1.747268556546230e-003	2.218172e-001	-9.984631e-002
1.770287529760515e-003	2.202713e-001	-9.909761e-002
1.793306502974800e-003	2.142773e-001	-9.634826e-002
1.816325476189086e-003	2.038350e-001	-9.159826e-002
1.839344449403371e-003	1.889446e-001	-8.484761e-002
1.862363422617656e-003	1.696059e-001	-7.609630e-002
1.874221681546227e-003	1.582701e-001	-7.097292e-002
1.886079940474798e-003	1.462345e-001	-6.553628e-002
1.897938199403369e-003	1.334991e-001	-5.978638e-002
1.909796458331941e-003	1.200639e-001	-5.372323e-002
1.921654717260512e-003	1.059290e-001	-4.734682e-002
1.933512976189083e-003	9.109427e-002	-4.065716e-002
1.945371235117654e-003	7.555981e-002	-3.365424e-002
1.952346681546225e-003	6.628779e-002	-2.947554e-002
1.959322127974796e-003	5.693384e-002	-2.526067e-002
1.966297574403368e-003	4.749796e-002	-2.100964e-002
1.973273020831939e-003	3.798014e-002	-1.672244e-002
1.980248467260511e-003	2.838039e-002	-1.239908e-002
1.987223913689082e-003	1.869871e-002	-8.039544e-003
1.994199360117653e-003	8.935096e-003	-3.643843e-003
1.998384627974796e-003	3.084996e-003	-1.010412e-003
2.002569895831939e-003	-2.757154e-003	1.619180e-003
2.006755163689081e-003	-8.591354e-003	4.244933e-003
2.010940431546224e-003	-1.441760e-002	6.866847e-003
2.015125699403367e-003	-2.023591e-002	9.484921e-003
2.019310967260510e-003	-2.604626e-002	1.209916e-002
2.023496235117652e-003	-3.184866e-002	1.470955e-002
2.033261860117652e-003	-4.539252e-002	2.080162e-002
2.043027485117652e-003	-5.864410e-002	2.676080e-002
2.052793110117652e-003	-7.160339e-002	3.258710e-002
2.062558735117652e-003	-8.427040e-002	3.828051e-002
2.072324360117651e-003	-9.664513e-002	4.384103e-002
2.082089985117651e-003	-1.087276e-001	4.926867e-002
2.091855610117651e-003	-1.205177e-001	5.456343e-002
2.107201592260508e-003	-1.382458e-001	6.252104e-002
2.122547574403365e-003	-1.543596e-001	6.974997e-002
2.137893556546222e-003	-1.688593e-001	7.625022e-002
2.153239538689078e-003	-1.817448e-001	8.202179e-002
2.168585520831935e-003	-1.930161e-001	8.706467e-002
2.183931502974792e-003	-2.026732e-001	9.137887e-002
2.199277485117649e-003	-2.107162e-001	9.496439e-002
