time	V(v1)	V(v2)	V(vout)
7.619612518353624e-004	4.979657e-001	-4.979657e-001	-1.593440e+000
7.835851357639338e-004	4.889087e-001	-4.889087e-001	-1.565151e+000
7.996286625496481e-004	4.752584e-001	-4.752584e-001	-1.521966e+000
8.156721893353624e-004	4.573644e-001	-4.573644e-001	-1.465180e+000
8.317157161210767e-004	4.352267e-001	-4.352267e-001	-1.394790e+000
8.477592429067911e-004	4.088455e-001	-4.088455e-001	-1.310799e+000
8.638027696925054e-004	3.782206e-001	-3.782206e-001	-1.213204e+000
8.798462964782197e-004	3.433521e-001	-3.433521e-001	-1.102008e+000
8.958898232639339e-004	3.042399e-001	-3.042399e-001	-9.772084e-001
9.063529929067910e-004	2.771979e-001	-2.771979e-001	-8.908836e-001
9.168161625496482e-004	2.492713e-001	-2.492713e-001	-8.017095e-001
9.272793321925053e-004	2.204599e-001	-2.204599e-001	-7.096859e-001
9.377425018353625e-004	1.907639e-001	-1.907639e-001	-6.148128e-001
9.482056714782196e-004	1.601832e-001	-1.601832e-001	-5.170904e-001
9.586688411210769e-004	1.287179e-001	-1.287179e-001	-4.165185e-001
9.691320107639340e-004	9.636782e-002	-9.636782e-002	-3.130972e-001
9.733172786210768e-004	8.341153e-002	-8.341153e-002	-2.716703e-001
9.775025464782196e-004	7.042010e-002	-7.042010e-002	-2.301276e-001
9.816878143353624e-004	5.739352e-002	-5.739352e-002	-1.884691e-001
9.858730821925052e-004	4.433179e-002	-4.433179e-002	-1.466948e-001
9.900583500496480e-004	3.123491e-002	-3.123491e-002	-1.048047e-001
9.942436179067907e-004	1.810289e-002	-1.810289e-002	-6.279879e-002
9.984288857639335e-004	4.935721e-003	-4.935721e-003	-2.067706e-002
1.013077323263933e-003	-4.103741e-002	4.103741e-002	1.264175e-001
1.020750314335362e-003	-6.514065e-002	6.514065e-002	2.035544e-001
1.028423305406790e-003	-8.895614e-002	8.895614e-002	2.797818e-001
1.036096296478219e-003	-1.124839e-001	1.124839e-001	3.550995e-001
1.043769287549647e-003	-1.357238e-001	1.357238e-001	4.295076e-001
1.051442278621075e-003	-1.586761e-001	1.586761e-001	5.030061e-001
1.059115269692504e-003	-1.813405e-001	1.813405e-001	5.755950e-001
